timebound,result
0.25,2.709901037e-09
0.5,0.0001907782639
0.75,0.009150245869
1.0,0.04602877334
1.25,0.08921047738
1.5,0.1173341993
1.75,0.1411666948
2.0,0.1698853792
2.25,0.1993327014
2.5,0.225466654
2.75,0.2499315372
3.0,0.2745623625
3.25,0.2987714757
3.5,0.3217887241
3.75,0.34386929
4.0,0.3653875308
4.25,0.3862838807
4.5,0.4064288267
4.75,0.4258741231
5.0,0.4447078473
5.25,0.4629411934
5.5,0.4805656944
5.75,0.4976039498
6.0,0.5140873281
6.25,0.5300334188
6.5,0.5454546466
6.75,0.5603682815
7.0,0.5747932024
7.25,0.5887455167
7.5,0.6022397851
7.75,0.6152909674
8.0,0.6279140033
8.25,0.6401229875
8.5,0.6519313366
8.75,0.6633521695
9.0,0.6743982726
9.25,0.6850819559
9.5,0.6954150813
9.75,0.7054091442
10.0,0.7150752821
10.25,0.7244242588
10.5,0.7334664756
10.75,0.7422119964
11.0,0.7506705584
11.25,0.7588515783
11.5,0.7667641618
11.75,0.7744171165
12.0,0.7818189618
12.25,0.7889779373
12.5,0.7959020118
12.75,0.8025988929
13.0,0.8090760354
13.25,0.8153406493
13.5,0.8213997082
13.75,0.8272599567
14.0,0.8329279182
14.25,0.838409902
14.5,0.8437120106
14.75,0.8488401458
15.0,0.8538000162
15.25,0.858597143
15.5,0.863236866
15.75,0.86772435
16.0,0.8720645902
16.25,0.8762624181
16.5,0.8803225066
16.75,0.884249375
17.0,0.8880473947
17.25,0.8917207934
17.5,0.8952736603
17.75,0.8987099502
18.0,0.9020334882
18.25,0.905247974
18.5,0.9083569858
18.75,0.9113639844
19.0,0.9142723172
19.25,0.9170852215
19.5,0.9198058285
19.75,0.9224371667
20.0,0.9249821652
20.25,0.927443657
20.5,0.9298243821
20.75,0.9321269906
21.0,0.9343540458
21.25,0.9365080266
21.5,0.9385913308
21.75,0.9406062775
22.0,0.9425551095
22.25,0.9444399963
22.5,0.9462630361
22.75,0.9480262581
23.0,0.9497316251
23.25,0.9513810354
23.5,0.9529763251
23.75,0.9545192701
24.0,0.9560115878
24.25,0.9574549395
24.5,0.9588509317
24.75,0.9602011186
25.0,0.961507003
25.25,0.9627700386
25.5,0.9639916313
25.75,0.9651731411
26.0,0.9663158831
26.25,0.9674211293
26.5,0.96849011
26.75,0.9695240153
27.0,0.970523996
27.25,0.9714911653
27.5,0.9724265997
27.75,0.9733313405
28.0,0.9742063949
28.25,0.9750527369
28.5,0.9758713087
28.75,0.9766630215
29.0,0.9774287565
29.25,0.9781693661
29.5,0.9788856748
29.75,0.9795784799
30.0,0.9802485526
30.25,0.9808966388
30.5,0.98152346
30.75,0.9821297138
31.0,0.9827160752
31.25,0.9832831969
31.5,0.9838317101
31.75,0.9843622255
32.0,0.9848753335
32.25,0.9853716054
32.5,0.9858515936
32.75,0.9863158323
33.0,0.9867648384
33.25,0.9871991117
33.5,0.9876191356
33.75,0.9880253776
34.0,0.98841829
34.25,0.98879831
34.5,0.9891658609
34.75,0.9895213516
35.0,0.9898651779
35.25,0.9901977226
35.5,0.9905193558
35.75,0.9908304355
36.0,0.9911313081
36.25,0.9914223084
36.5,0.9917037604
36.75,0.9919759773
37.0,0.9922392622
37.25,0.9924939083
37.5,0.9927401988
37.75,0.992978408
38.0,0.9932088011
38.25,0.9934316345
38.5,0.9936471563
38.75,0.9938556064
39.0,0.9940572168
39.25,0.9942522119
39.5,0.9944408088
39.75,0.9946232175
40.0,0.994799641
40.25,0.9949702756
40.5,0.9951353114
40.75,0.995294932
41.0,0.9954493151
41.25,0.9955986325
41.5,0.9957430506
41.75,0.99588273
42.0,0.9960178262
42.25,0.9961484897
42.5,0.9962748657
42.75,0.9963970952
43.0,0.996515314
43.25,0.9966296538
43.5,0.9967402419
43.75,0.9968472014
44.0,0.9969506513
44.25,0.9970507068
44.5,0.9971474793
44.75,0.9972410764
45.0,0.9973316025
45.25,0.9974191582
45.5,0.997503841
45.75,0.9975857452
46.0,0.9976649619
46.25,0.9977415794
46.5,0.9978156829
46.75,0.9978873549
47.0,0.9979566752
47.25,0.9980237209
47.5,0.9980885668
47.75,0.9981512849
48.0,0.9982119451
48.25,0.9982706149
48.5,0.9983273596
48.75,0.9983822425
49.0,0.9984353245
49.25,0.9984866647
49.5,0.9985363204
49.75,0.9985843468
50.0,0.9986307974
50.25,0.9986757237
50.5,0.998719176
50.75,0.9987612025
51.0,0.9988018501
51.25,0.9988411639
51.5,0.9988791877
51.75,0.9989159639
52.0,0.9989515334
52.25,0.9989859358
52.5,0.9990192093
52.75,0.9990513911
53.0,0.9990825169
53.25,0.9991126215
53.5,0.9991417382
53.75,0.9991698996
54.0,0.9991971369
54.25,0.9992234805
54.5,0.9992489598
54.75,0.999273603
55.0,0.9992974376
55.25,0.9993204901
55.5,0.9993427862
55.75,0.9993643508
56.0,0.9993852078
56.25,0.9994053804
56.5,0.9994248911
56.75,0.9994437616
57.0,0.999462013
57.25,0.9994796654
57.5,0.9994967387
57.75,0.9995132518
58.0,0.999529223
58.25,0.9995446702
58.5,0.9995596105
58.75,0.9995740606
59.0,0.9995880365
59.25,0.9996015539
59.5,0.9996146278
59.75,0.9996272726
60.0,0.9996395026
